Lead,Lag,Freq,AvgWeight,Score
MRK,AAPL,50.0,0.6037516517775767,30.187582588878836
AXP,AMZN,87.5,-0.34497066714246954,30.184933374966086
TMO,DHR,75.0,0.401873104687197,30.140482851539776
TMO,META,62.5,0.4806304139442453,30.039400871515333
MA,NVO,87.5,0.342905431003151,30.004225212775715
ABBV,DHR,62.5,-0.47900961731014763,29.938101081884227
AZN,TMO,50.0,-0.5973863577249604,29.86931788624802
DHR,BP,50.0,0.5971735679932455,29.858678399662274
AZN,MA,62.5,-0.4770941095125158,29.818381844532237
AMZN,NVDA,87.5,0.3406837328594157,29.809826625198877
GOOGL,JPM,62.5,0.47657116632000196,29.785697895000123
C,AMD,62.5,-0.47519695083192415,29.69980942699526
TTE,AXP,87.5,-0.3391427790690699,29.67499316854362
GS,JPM,62.5,0.4732484963508906,29.578031021930663
EQNR,MS,62.5,-0.47161094758154354,29.47568422384647
PBR,MS,62.5,-0.4707515441017467,29.421971506359167
PFE,NVO,50.0,0.5881530346292669,29.407651731463346
INTC,MSFT,87.5,-0.3348739041998769,29.30146661748923
AAPL,BP,37.5,-0.781352638009074,29.30072392534027
JNJ,AMZN,62.5,0.46818983517694973,29.261864698559357
EQNR,MRK,87.5,-0.33422750244614796,29.244906464037946
COP,UNH,62.5,0.466150792702995,29.134424543937186
COP,V,50.0,0.5809332620948658,29.046663104743292
BAC,AZN,75.0,0.3858584775380292,28.93938581535219
EQNR,VLO,75.0,0.3856698400562674,28.925238004220056
PFE,DHR,50.0,0.5756602811728743,28.78301405864371
AMZN,V,75.0,-0.38310478826958855,28.732859120219143
AMZN,BP,50.0,-0.5731771436849586,28.658857184247932
LLY,ADBE,37.5,-0.7641061936674444,28.653982262529162
JPM,DHR,37.5,-0.7620929492577136,28.578485597164264
PFE,AAPL,62.5,-0.456786425813858,28.549151613366124
AXP,MS,37.5,0.7611727631445034,28.543978617918878
NVO,LLY,75.0,-0.3801344166337701,28.51008124753276
NVO,NVDA,62.5,0.4528140177652268,28.300876110326673
MS,GOOGL,62.5,0.4521846296665711,28.261539354160693
AMZN,ABBV,50.0,0.5648910212524924,28.244551062624616
META,JNJ,50.0,0.5647885052504057,28.239425262520285
BP,META,50.0,0.5622349814181862,28.11174907090931
MSFT,SHEL,62.5,-0.44932020782876486,28.082512989297804
NVO,AAPL,50.0,-0.5607712133538738,28.03856066769369
ABBV,PYPL,75.0,-0.37366489495554894,28.02486712166617
TTE,ABBV,37.5,-0.7472948497735129,28.023556866506734
NVDA,MA,37.5,-0.7466973002270536,28.00114875851451
COP,PFE,75.0,-0.37308696848500594,27.981522636375445
AZN,AAPL,62.5,0.4461744703635354,27.885904397720964
MA,INTC,75.0,0.37155630267389395,27.866722700542045
AZN,META,50.0,-0.5569341033147587,27.846705165737934
EQNR,NVO,75.0,-0.37120908754557264,27.840681565917947
AMD,TTE,62.5,0.4453761468887162,27.83600918054476
INTC,MS,75.0,-0.3709622747035619,27.822170602767144
COP,XOM,75.0,0.36932571614069865,27.699428710552397
LLY,NVO,75.0,-0.3690759273203043,27.680694549022824
INTC,VLO,62.5,-0.44259822370414215,27.662388981508883
TMO,NVO,75.0,0.36813274512336797,27.609955884252596
AMD,DHR,62.5,-0.4408572729059931,27.553579556624566
MA,CVX,37.5,0.7337579749559721,27.515924060848953
CVX,BP,62.5,-0.43974806787558435,27.484254242224022
ABBV,VLO,50.0,-0.5491832420774092,27.45916210387046
ADBE,AZN,75.0,-0.3659819332069323,27.44864499051992
UNH,INTC,50.0,-0.5477509822095248,27.38754911047624
META,SLB,50.0,0.546719131521014,27.3359565760507
SLB,VLO,37.5,-0.7282111950713079,27.30791981517405
PYPL,LLY,62.5,-0.43630006092344364,27.26875380771523
TMO,JPM,62.5,-0.4361851422619031,27.261571391368943
AMZN,MA,75.0,-0.36193750070590447,27.145312552942833
EQNR,C,75.0,-0.36183982421139604,27.137986815854703
JNJ,AXP,62.5,-0.43353350549437375,27.09584409339836
AXP,TMO,62.5,0.43326708487551,27.079192804719376
MRK,TMO,75.0,-0.36083143752726404,27.062357814544804
WFC,TTE,37.5,0.7214177289665972,27.053164836247394
AMD,ADBE,50.0,-0.5388130477695399,26.940652388476995
MA,TSLA,37.5,0.7181781704991431,26.931681393717867
META,NVDA,62.5,0.4304370134841619,26.90231334276012
MA,WFC,37.5,-0.7172037865405269,26.895141995269757
NVO,EQNR,87.5,-0.30724725656694485,26.884134949607674
MRK,JPM,50.0,0.5370727033547191,26.853635167735955
MSFT,AXP,87.5,0.3067236470440185,26.83831911635162
EQNR,ADBE,62.5,0.42807378285340886,26.754611428338052
V,PFE,75.0,0.3562916444252584,26.72187333189438
EQNR,TSLA,50.0,-0.5336448738277105,26.682243691385526
WFC,AZN,87.5,0.303435136567728,26.5505744496762
WFC,V,37.5,-0.7077634274053785,26.54112852770169
MRK,PYPL,62.5,-0.42393463732283865,26.495914832677414
AAPL,JPM,50.0,0.5283225992519902,26.41612996259951
WFC,MA,75.0,-0.3515402412820219,26.36551809615164
SHEL,ADBE,50.0,-0.524983682881373,26.24918414406865
WFC,DHR,37.5,-0.6989192511038379,26.20947191639392
C,NVDA,62.5,0.41933420740511185,26.20838796281949
NVO,ADBE,37.5,0.6974355153260259,26.15383182472597
NVO,WFC,50.0,-0.5229874125666124,26.14937062833062
SLB,C,62.5,0.4174884371244012,26.093027320275077
GS,INTC,50.0,-0.5176700099976326,25.883500499881627
NVDA,DHR,75.0,0.3450059686267792,25.87544764700844
XOM,TTE,50.0,-0.5165647115606583,25.828235578032917
PYPL,DHR,75.0,0.3439238672622577,25.794290044669328
TMO,PBR,50.0,-0.5152826787787356,25.76413393893678
JNJ,VLO,37.5,-0.6864534084790419,25.74200281796407
JPM,GS,75.0,0.3431776001751566,25.738320013136743
GS,V,50.0,-0.5143386917476546,25.716934587382728
EQNR,TMO,50.0,-0.5128276244239887,25.64138122119943
UNH,PBR,62.5,-0.4100016971839248,25.6251060739953
UNH,BAC,50.0,-0.5121636080002411,25.608180400012053
SHEL,V,62.5,0.40935322309377103,25.58457644336069
UNH,ADBE,62.5,0.40923750200812004,25.577343875507502
XOM,AMZN,75.0,-0.34051106671531395,25.538330003648547
EQNR,V,50.0,-0.5096644166861303,25.483220834306515
V,SHEL,75.0,-0.3394989830015618,25.462423725117134
AMZN,C,62.5,0.407002798918359,25.43767493239744
SLB,V,37.5,0.6779777258697699,25.424164720116373
MSFT,JNJ,50.0,-0.5083387732995663,25.416938664978318
AAPL,AZN,87.5,0.29019522528202696,25.39208221217736
NVO,SLB,50.0,0.5077842399632501,25.3892119981625
AMD,BP,62.5,0.4061903881283241,25.386899258020254
TMO,MSFT,37.5,0.6760941983278745,25.353532437295296
INTC,NVO,100.0,-0.2533242835049684,25.332428350496837
SLB,PBR,87.5,-0.288281667274708,25.22464588653695
TMO,LLY,75.0,-0.33606868547039936,25.205151410279953
C,TMO,75.0,0.3356178789775552,25.171340923316638
INTC,C,62.5,-0.40186992596863347,25.116870373039593
PYPL,TSLA,62.5,-0.4007964834427217,25.049780215170106
MRK,TTE,50.0,0.49701944164745177,24.85097208237259
ADBE,SLB,62.5,-0.39742886773023417,24.839304233139636
PFE,AMZN,75.0,-0.33100402733876816,24.82530205040761
NVO,PYPL,37.5,0.6605680849010861,24.771303183790728
GOOGL,EQNR,62.5,-0.39589133120143377,24.74320820008961
MA,GOOGL,50.0,-0.4948201230823379,24.741006154116896
MRK,VLO,37.5,-0.6597389591763562,24.740210969113356
META,TMO,37.5,0.6582289289204445,24.68358483451667
GS,NVDA,50.0,0.49283313373119686,24.64165668655984
INTC,ADBE,37.5,-0.6568070851595051,24.630265693481444
VLO,MRK,75.0,-0.3276009557777323,24.57007168332992
AMD,XOM,62.5,-0.39218018153572143,24.51126134598259
TSLA,EQNR,75.0,-0.32638567519526435,24.478925639644824
NVO,UNH,50.0,-0.4883774850881053,24.418874254405264
ADBE,TSLA,75.0,-0.3251811104230187,24.388583281726405
V,NVO,87.5,0.2780527105757168,24.329612175375217
AMZN,NVO,50.0,-0.48654116316649465,24.327058158324732
BAC,SLB,37.5,-0.6480521224206267,24.3019545907735
ADBE,C,62.5,-0.3885070108653957,24.28168817908723
V,TTE,75.0,-0.3230103393934469,24.22577545450852
V,JPM,37.5,-0.6450393503491675,24.18897563809378
EQNR,GOOGL,50.0,-0.48329776060785734,24.164888030392866
EQNR,PFE,37.5,-0.6437585266669844,24.140944750011915
MSFT,VLO,87.5,0.27583262983237816,24.13535511033309
DHR,WFC,37.5,-0.6435105922355963,24.13164720883486
PYPL,TMO,62.5,0.3857998101445284,24.112488134033025
AMD,TSLA,37.5,-0.6420833099642156,24.078124123658085
TMO,BP,87.5,0.27476668260601567,24.04208472802637
AMD,V,62.5,0.3837890012411612,23.986812577572575
BP,PFE,37.5,0.6389645180624811,23.96116942734304
EQNR,WFC,62.5,0.3832023258372475,23.950145364827968
SHEL,PYPL,50.0,0.4780980593501505,23.904902967507525
MRK,DHR,75.0,-0.3178567486507588,23.83925614880691
TMO,AXP,50.0,0.47660082973477025,23.830041486738512
TTE,MRK,62.5,0.3807803362571497,23.798771016071857
DHR,SLB,37.5,-0.6325133842412468,23.719251909046754
VLO,BAC,50.0,-0.4731962956509645,23.659814782548224
EQNR,AXP,62.5,0.37797708568050226,23.62356785503139
GOOGL,NVDA,75.0,0.3148581958655294,23.614364689914705
JPM,CVX,50.0,-0.4715673248371096,23.57836624185548
DHR,INTC,75.0,-0.31385995217724955,23.539496413293715
MA,MS,37.5,-0.6276151889691691,23.535569586343843
AXP,COP,25.0,0.9395725901487064,23.48931475371766
BAC,TMO,87.5,-0.2679978763592475,23.449814181434157
VLO,TMO,37.5,0.6249014870766094,23.433805765372853
PFE,SHEL,62.5,-0.3746430585162943,23.415191157268396
NVDA,MRK,62.5,-0.37427462550467216,23.39216409404201
PFE,ADBE,37.5,0.6234794417166899,23.380479064375873
AMZN,XOM,62.5,-0.37389043884547957,23.368152427842475
GS,MA,37.5,-0.6228932692728355,23.358497597731333
JPM,NVO,62.5,-0.3731335472608121,23.320846703800758
AZN,DHR,75.0,-0.3104675999687863,23.285069997658972
TTE,CVX,37.5,-0.6195102462062085,23.23163423273282
CVX,GS,37.5,-0.6195098338046807,23.231618767675528
CVX,TSLA,50.0,0.4645913646684993,23.229568233424967
ABBV,MSFT,62.5,-0.3715591286159564,23.222445538497276
GOOGL,WFC,50.0,0.4643781466092458,23.21890733046229
SHEL,MSFT,62.5,-0.37042877028250054,23.151798142656283
ABBV,AMD,75.0,0.30792920759353815,23.09469056951536
AMZN,GOOGL,50.0,0.46168809192476673,23.084404596238336
MA,LLY,37.5,-0.6152200580546184,23.070752177048192
EQNR,AZN,50.0,-0.4610317395435481,23.051586977177404
JNJ,DHR,62.5,-0.3683308707639136,23.0206794227446
AAPL,META,37.5,-0.613015667050027,22.988087514376012
PFE,PYPL,75.0,0.30588038210055624,22.941028657541718
INTC,AAPL,75.0,-0.3051052139307957,22.88289104480968
SLB,ADBE,75.0,-0.30509720803673673,22.882290602755255
EQNR,JPM,75.0,0.30504202373264916,22.878151779948688
JPM,COP,25.0,-0.9130057581980164,22.825143954950413
BAC,EQNR,62.5,0.3647953189147602,22.79970743217251
COP,AMZN,50.0,-0.45498818714371575,22.749409357185787
GS,TTE,37.5,0.6064299590650406,22.741123464939022
MS,XOM,62.5,-0.3624809515844589,22.655059474028683
PYPL,ADBE,37.5,0.6028413519174277,22.60655069690354
SLB,ABBV,62.5,0.3611258442204533,22.57036526377833
TMO,AMD,87.5,-0.25783669959346506,22.560711214428192
C,NVO,62.5,0.36092570901663407,22.55785681353963
UNH,EQNR,50.0,0.45003083720456283,22.50154186022814
JNJ,WFC,50.0,0.449757432347662,22.4878716173831
